MC_name,Bin_code,MC_low,MC_high,Bin_low,Bin_high
"CREDIT UNION ""PAYMENT CENTER"" (LIMITED LIABILITY COMPANY)",credit_union_payment_center,5154975700000000000,5154975799999999999,5154975700000000000,5154975799999999999
"CREDIT UNION ""PAYMENT CENTER"" (LIMITED LIABILITY COMPANY)",credit_union_payment_center,5154979000000000000,5154979099999999999,5154979000000000000,5154979099999999999
JSC EURASIAN BANK,jsc_eurasian_bank,5154991100000000000,5154991199999999999,5154991100000000000,5154991199999999999
CREDIT URAL BANK,credit_ural_bank,5154995600000000000,5154995699999999999,5154995600000000000,5154995699999999999
"PUBLIC JOINT-STOCK COMPANY ""BANK OTKRITIE FINANCIAL CORPORATION""",binbank,5155015600000000000,5155015699999999999,5155015600000000000,5155015699999999999
"PUBLIC JOINT-STOCK COMPANY ""BANK OTKRITIE FINANCIAL CORPORATION""",otkritie,5155016800000000000,5155016899999999999,5155016800000000000,5155016899999999999
GAZPROMBANK (JOINT STOCK COMPANY),gazprom,5155018500000000000,5155018599999999999,5155018500000000000,5155018599999999999
"CREDIT UNION ""PAYMENT CENTER"" (LIMITED LIABILITY COMPANY)",credit_union_payment_center,5155032100000000000,5155032199999999999,5155032100000000000,5155032199999999999
UNICREDIT BANK,unicredit,5155034000000000000,5155034099999999999,5155034000000000000,5155034099999999999
TINKOFF BANK,tinkoff,5155041500000000000,5155041599999999999,5155041500000000000,5155041599999999999
"SUBSIDIARY BANK ""SBERBANK OF RUSSIA"" JOINT STOCK COMPANY",sberbank_kz,5155048200000000000,5155048299999999999,5155048200000000000,5155048299999999999
"PUBLIC JOINT STOCK COMPANY ""BANK URALSIB""",uralsib,5155063300000000000,5155063399999999999,5155063300000000000,5155063399999999999
PUBLIC JOINT STOCK COMPANY PROMSVYAZBANK,promsvyazbank,5155069200000000000,5155069299999999999,5155069200000000000,5155069299999999999
"JOINT STOCK COMPANY ""OTP BANK""",otp_bank,5155095500000000000,5155095599999999999,5155095500000000000,5155095599999999999
LIMITED LIABILITY COMPANY HOME CREDIT & FINANCE BANK,homecredit,5155095700000000000,5155095799999999999,5155095700000000000,5155095799999999999
"JOINT STOCK COMPANY ""ALFA-BANK""",alfa,5155097900000000000,5155097999999999999,5155097900000000000,5155097999999999999
"CREDIT UNION ""PAYMENT CENTER"" (LIMITED LIABILITY COMPANY)",investment_bank_vesta_llc,5155113300000000000,5155113399999999999,5155113300000000000,5155113399999999999
GAZPROMBANK (JOINT STOCK COMPANY),gazprom,5155119300000000000,5155119399999999999,5155119300000000000,5155119399999999999
JSC EURASIAN BANK,jsc_eurasian_bank,5155122100000000000,5155122199999999999,5155122100000000000,5155122199999999999
"""FIRST HEARTLAND JUSAN BANK"" JOINT STOCK COMPANY",jsc_atfbank,5155122600000000000,5155122699999999999,5155122600000000000,5155122699999999999
"JOINT STOCK COMPANY ""RUSSIAN STANDARD BANK""",rsb,5155122800000000000,5155122899999999999,5155122800000000000,5155122899999999999
"CREDIT UNION ""PAYMENT CENTER"" (LIMITED LIABILITY COMPANY)",credit_union_payment_center,5155123500000000000,5155123599999999999,5155123500000000000,5155123599999999999
"PUBLIC JOINT-STOCK COMPANY ""ROSGOSSTRAKH BANK""",rgs_bank,5155141000000000000,5155141099999999999,5155141000000000000,5155141099999999999
JOINT STOCK COMPANY COMMERCIAL BANK CITIBANK,citibank,5155151500000000000,5155151599999999999,5155151500000000000,5155151599999999999
VTB BANK (PUBLIC JOINT-STOCK COMPANY),vtb,5155155400000000000,5155155499999999999,5155155400000000000,5155155499999999999
"CREDIT UNION ""PAYMENT CENTER"" (LIMITED LIABILITY COMPANY)",credit_union_payment_center,5155156100000000000,5155156199999999999,5155156100000000000,5155156199999999999
JOINT STOCK COMPANY COMMERCIAL BANK CITIBANK,citibank,5155202400000000000,5155202499999999999,5155202400000000000,5155202499999999999
"PJSC ""MTS BANK""",mts_bank,5155220200000000000,5155220299999999999,5155220200000000000,5155220299999999999
"JOINT STOCK COMPANY ""ALFA-BANK""",alfa,5155225200000000000,5155225299999999999,5155225200000000000,5155225299999999999
SBERBANK OF RUSSIA,sber,5155229900000000000,5155229999999999999,5155229900000000000,5155229999999999999
"""BANK ""SAINT PETERSBURG"" PUBLIC JOINT-STOCK COMPANY",sankt_peterburg,5155240100000000000,5155240199999999999,5155240100000000000,5155240199999999999
CREDIT BANK OF MOSCOW,mkb,5155243800000000000,5155243899999999999,5155243800000000000,5155243899999999999
BELGAZPROMBANK,belgazprombank,5155290200000000000,5155290299999999999,5155290200000000000,5155290299999999999
BANK ZENIT,bank_zenit,5155292700000000000,5155292799999999999,5155292700000000000,5155292799999999999
JOINT STOCK COMPANY COMMERCIAL BANK CITIBANK,citibank,5155293700000000000,5155293799999999999,5155293700000000000,5155293799999999999
"""BELARUSSIAN BANK OF DEVELOPMENT AND RECONSTRUCTION BELINVESTBANK"" JSC",belinvest,5155299100000000000,5155299199999999999,5155299100000000000,5155299199999999999
"CREDIT UNION ""PAYMENT CENTER"" (LIMITED LIABILITY COMPANY)",credit_union_payment_center,5155300900000000000,5155300999999999999,5155300900000000000,5155300999999999999
"CREDIT UNION ""PAYMENT CENTER"" (LIMITED LIABILITY COMPANY)",credit_union_payment_center,5155301800000000000,5155301899999999999,5155301800000000000,5155301899999999999
"PUBLIC JOINT STOCK COMPANY ""BANK URALSIB""",uralsib,5155305700000000000,5155305799999999999,5155305700000000000,5155305799999999999
VTB BANK (PUBLIC JOINT-STOCK COMPANY),vtb,5155312600000000000,5155312699999999999,5155312600000000000,5155312699999999999
