fpsMembers/bankName,fpsMembers/bankNameRu,fpsMembers/bankId,fpsMembers/bic,fpsMembers/scenarios/0/name,fpsMembers/scenarios/0/roles/0,fpsMembers/scenarios/0/roles/1,fpsMembers/scenarios/1/name,fpsMembers/scenarios/1/roles/0,fpsMembers/scenarios/1/roles/1,fpsMembers/scenarios/2/name,fpsMembers/scenarios/2/roles/0,fpsMembers/scenarios/3/name,fpsMembers/scenarios/3/roles/0,fpsMembers/scenarios/3/roles/1,fpsMembers/scenarios/4/name,fpsMembers/scenarios/4/roles/0,fpsMembers/scenarios/4/roles/1,fpsMembers/scenarios/5/name,fpsMembers/scenarios/5/roles/0,fpsMembers/scenarios/5/roles/1,fpsMembers/scenarios/6/name,fpsMembers/scenarios/6/roles/0,fpsMembers/scenarios/6/roles/1,fpsMembers/scenarios/7/name,fpsMembers/scenarios/7/roles/0,fpsMembers/scenarios/7/roles/1,fpsMembers/scenarios/8/name,fpsMembers/scenarios/8/roles/0,fpsMembers/scenarios/2/roles/1,fpsMembers/scenarios/8/roles/1,fpsMembers/scenarios/9/name,fpsMembers/scenarios/9/roles/0,fpsMembers/scenarios/9/roles/1,fpsMembers/scenarios/10/name,fpsMembers/scenarios/10/roles/0
Bank Akcept,Банк Акцепт,100000000135,045004815,C2BQRD,Receiver,Sender,C2BQRS,Receiver,Sender,C2BMcom,Sender,C2BRfnd,Receiver,Sender,C2CPush,Receiver,Sender,B2COther,Receiver,Sender,SbscrLnk,Receiver,Sender,Me2MePull,Receiver,Sender,Me2MePush,Receiver,,,,,,,
Baikalcredobank,Байкалкредобанк,100000000256,042520872,C2CPush,Receiver,Sender,Me2MePush,Receiver,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sovcombank,Совкомбанк,100000000013,043469743,C2BQRD,Receiver,Sender,C2BQRS,Receiver,Sender,C2BMcom,Sender,C2BRfnd,Receiver,Sender,C2CPush,Receiver,Sender,B2COther,Receiver,Sender,SbscrLnk,Receiver,Sender,Me2MePull,Receiver,Sender,Me2MePush,Receiver,,Sender,,,,,
NBD-Bank,НБД-Банк,100000000134,042202705,C2BQRD,Receiver,Sender,C2BQRS,Receiver,Sender,C2BMcom,Sender,C2BRfnd,Receiver,Sender,C2CPush,Receiver,Sender,B2COther,Receiver,Sender,SbscrLnk,Sender,,Me2MePull,Receiver,Sender,Me2MePush,Receiver,,,,,,,
Bank PTB,Банк ПТБ,100000000255,048073846,C2CPush,Receiver,Sender,Me2MePush,Receiver,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rosbank,Росбанк,100000000012,044525256,C2BQRD,Receiver,Sender,C2BQRS,Receiver,Sender,C2BMcom,Sender,C2BRfnd,Receiver,Sender,C2CPush,Receiver,Sender,B2COther,Receiver,Sender,SbscrLnk,Sender,,Me2MePull,Receiver,Sender,Me2MePush,Receiver,,Sender,,,,,
BBR Bank,ББР Банк,100000000133,044525769,C2BQRD,Receiver,Sender,C2BQRS,Receiver,Sender,C2BMcom,Sender,C2BRfnd,Receiver,Sender,C2CPush,Receiver,Sender,B2COther,Receiver,Sender,SbscrLnk,Sender,,Me2MePull,Receiver,Sender,Me2MePush,Receiver,,,,,,,
CB ENERGOTRANSBANK,КБ ЭНЕРГОТРАНСБАНК,100000000139,042748701,C2BQRD,Receiver,Sender,C2BQRS,Receiver,Sender,C2BMcom,Sender,C2BRfnd,Receiver,Sender,C2CPush,Receiver,Sender,B2COther,Receiver,Sender,SbscrLnk,Receiver,Sender,Me2MePull,Receiver,Sender,Me2MePush,Receiver,,,,,,,
OTP Bank,ОТП Банк,100000000018,044525311,C2BQRD,Receiver,Sender,C2BQRS,Receiver,Sender,C2BMcom,Sender,C2BRfnd,Receiver,Sender,C2CPush,Receiver,Sender,B2COther,Receiver,Sender,Me2MePull,Receiver,Sender,Me2MePush,Receiver,,,,,,,,,,
MTS Bank,МТС-Банк,100000000017,044525232,C2BQRD,Receiver,Sender,C2BQRS,Receiver,Sender,C2BMcom,Sender,C2BRfnd,Receiver,Sender,C2CPush,Receiver,Sender,B2COther,Receiver,Sender,SbscrLnk,Receiver,Sender,Me2MePull,Receiver,Sender,Me2MePush,Receiver,,,,,,,
